transactionHashHash,starttime,endtime,token0,token1,volume,price
2a988e48fa18c3a01539d88dfdeaf65fedc73e24e39803dcaeb6af5a19a627a5,2025-01-12 16:05:00,2025-01-12 16:10:00,WBTC,USDT,101548.513427,94840.91468013452
ef4dc08eedf8565a13e0e5b8a5a2403e30750ca41333773253fefb4b1ae1065c,2025-01-12 16:10:00,2025-01-12 16:15:00,WBTC,USDT,192631.021899,94760.428149889
68335f72b63ba9350963e1eb7528e8df4ea9b862592d631ae3dd4d99e33c52bc,2025-01-12 16:15:00,2025-01-12 16:20:00,WBTC,USDT,91747.532,94702.71507136762
a52e078d9151756af112f8b1b3425bfabc0c5d383981e8ec753b46b0c40379b7,2025-01-12 16:20:00,2025-01-12 16:25:00,WBTC,USDT,45766.318302,94670.79549351448
189b693aa48585c3cc2b27717b66096a4608b7827590685558fb417764ff66e2,2025-01-12 16:30:00,2025-01-12 16:35:00,WBTC,USDT,465.582258,94659.977188028
8ecc8fd86b22bcc1587147ab29e0f3b96e5d5171c7ab7fc47a0165ccd99f2bde,2025-01-12 16:35:00,2025-01-12 16:40:00,WBTC,USDT,4824.728333,94872.86679866372
ccd05ad052a1c7cc92efc0993850f00c8dc07f1fec91ce02b1b61dc4c3baf6f5,2025-01-12 17:00:00,2025-01-12 17:05:00,WBTC,USDT,4058.931706,94949.16908137298
2116e4902adef25c4c30634ecf1d51a290b19325e5cc60f4bd9c722e96e2a4a4,2025-01-12 17:10:00,2025-01-12 17:15:00,WBTC,USDT,4773.336011,95025.06273342758
ef3a79e0941825f180b8987908a569f4909149e1973608afd9c53ce4558b9038,2025-01-12 17:30:00,2025-01-12 17:35:00,WBTC,USDT,3592.035662,94940.16904574184
21cae37a8f379c4a7dd7c6d3f9767896d311660f4193d643ac8db72065370b17,2025-01-12 17:35:00,2025-01-12 17:40:00,WBTC,USDT,370.616333,95007.66052023758
b43bf77bc11983009dae9b0f982ee7904a1cd197d3c25b4502514a7562889c44,2025-01-12 17:40:00,2025-01-12 17:45:00,WBTC,USDT,3223.216248,95038.38131275083
