transactionHash,amount0,amount1,sqrtPriceX96,liquidity,tick,timestamp
f00871b303489497d3c68ecde68957596080f48dc3578fa370847209073686e6,-206945863851438759,680760749,4542978097132672192772559,3295675097753821315,-195340,2025-01-12 16:00:23
a23610cc691f81cb94ff9ea4b114cb258b128bfddac1fa28387aa64437f26727,-10637714654729642741,35000000000,4543819077846166749667142,3295675097753821315,-195337,2025-01-12 16:00:59
663df80ff8879e0a31889bfa6f0e526995ae52e12a59c48b27fe2a4dc8187263,13511453152530382302,-44408458834,4542751496701432141013286,3295675097753821315,-195341,2025-01-12 16:01:23
1754f393c52a5b3cccc8b7dc896e0333d5b30ddf57fcde48b1afc9b65ffc3ef8,4246750897611832267,-13953601255,4542416051563447386607143,3295675097753821315,-195343,2025-01-12 16:01:23
6d79f5ae21d85334a1e8930a5f107e22123d6f7d638755c58aed8eeb5e190517,2678181088818203861,-8798672767,4542204531114607436707607,3295675097753821315,-195344,2025-01-12 16:01:47
5437b6b99d37d5f264021ffc7d54eeea1a2ecbf0a65c3abd004ffadc341ed4e6,5061132185627651000,-16625184292,4541804861012460043831143,3295675097753821315,-195346,2025-01-12 16:01:47
beff84899c63165d022ee5abc6be1796af71493bb6ed80b1e0b4abccdc814918,-83403205011821,274220,4541804867601402398323107,3295675097753821315,-195346,2025-01-12 16:02:23
ecf9f113fb54378e64f843b36b74d6fa68d5ba17c8c62b574f4323dfd0cad1e5,9289318484410105725,-30506634166,4541071486883384626602314,3295675097753821315,-195349,2025-01-12 16:02:47
f32aafd6e08eae999c3701c1f78c33bd42816cbd0cd6fd8cf8700c25a8a2ca16,339447812332976354,-1114578753,4541044692365122998938850,3295675097753821315,-195349,2025-01-12 16:04:23
11d14927325da979816847c60d00c2bbc5799e07c9aa49418b2eb957462e24e7,4000000000000000000,-13133031292,4540728973762202566013804,3295675097753821315,-195350,2025-01-12 16:05:11
957a0f2b8febcfea9e37e7ac12eef6520d2335338d46468593805986157f3b17,-2311680437320081475,7597215614,4540911519813844603661535,3295675097753821315,-195349,2025-01-12 16:06:23
8a5b3ed42bd6c9f8a9b9618cb164a8654a07a558418b47853833da43797f7b77,5405029627648962017,-17744631665,4540484938151609947850820,3295675097753821315,-195351,2025-01-12 16:06:23
